Hour,Price,Volume
0,-275.8,-4.18356621253588
0,-100.0,-62.0730642269374
0,17.2,-45.8897230285894
0,23.8,-157.8195603211213
0,29.3,-114.989610441098
0,35.9,-25.094334349167525
0,322.9,5.40822336762599
0,750.0,34.8306158425219
1,-275.8,-103.713298681259
1,-100.0,-6.56699722189599
1,17.2,8.891878664492097
1,23.8,-65.59672655226998
1,29.3,-26.915084566937132
1,35.9,53.8596633510556
1,44.7,86.1729825174673
1,322.9,32.4933732568867
1,750.0,19.8201136443103
2,-275.8,-54.485922094022
2,-100.0,-52.2201379298323
2,17.2,-68.78679753695474
2,23.8,-98.58969157321233
2,29.3,-81.92782352964507
2,322.9,52.0570039677696
2,750.0,12.7510231029705
3,-275.8,-14.1444036485612
3,-100.0,-102.514954459085
3,17.2,151.33549818261957
3,23.8,-232.9836048719787
3,29.3,-59.68784844705331
3,322.9,28.0054513321216
3,750.0,60.7439234993494
4,-275.8,-24.2093219009414
4,-100.0,-20.406668593348
4,17.2,-135.5767269317446
4,23.8,104.35113246886615
4,29.3,-75.97234093205871
4,35.9,-14.974672914092851
4,322.9,65.3450574350862
4,750.0,18.7873784199203
5,-275.8,-26.3884206927831
5,-100.0,-4.98265621092102
5,17.2,56.1623197377356
5,23.8,173.64400104431132
5,29.3,-125.13477649011658
5,35.9,-122.72482091876668
5,44.7,56.6368443866335
5,322.9,7.13411593899617
5,750.0,74.4249382416134
6,-242.3,-52.5770486930948
6,-100.0,-76.1731883193644
6,35.9,-12.7928473557397
6,44.7,-196.3002532086564
6,51.6,235.26572933493392
6,56.6,-213.01131693532463
6,60.9,72.08846342061891
6,356.4,27.9845140928028
6,750.0,22.7384391675711
7,-242.3,-68.948917809623
7,-100.0,-37.2467571070539
7,51.6,44.6153919349999
7,56.6,-119.7804410212719
7,60.9,-32.06655834280957
7,65.8,92.9895925157327
7,71.5,212.03817116222663
7,77.3,-71.26132017369675
7,356.4,14.2968800655882
7,750.0,31.9523261691124
8,-222.2,-17.5075792199979
8,-100.0,-40.1539662784459
8,65.8,-7.7420953160839865
8,71.5,-230.37669015330812
8,77.3,-263.4882999550145
8,85.6,39.87544678722332
8,375.8,94.4295761846297
8,750.0,16.0271009275387
9,-222.2,-7.62246074779424
9,-100.0,-44.7371587604417
9,56.6,-29.49895730525
9,60.9,133.2369446791977
9,65.8,38.10529377392126
9,71.5,-182.1352012769514
9,77.3,16.351345340061897
9,85.6,-5.95701386913978
9,375.8,90.6919467145781
9,750.0,16.7976993794046
10,-242.3,-24.755711540377
10,-100.0,-87.7907868187933
10,56.6,-127.65240894337633
10,60.9,-100.6970815052306
10,65.8,95.56890694500066
10,71.5,90.85467412697109
10,77.3,19.3319207035787
10,356.4,13.0084972721112
10,750.0,21.2677908083189
11,-242.3,-19.0695795294553
11,-100.0,-20.4929460898316
11,51.6,0.2655733926447965
11,56.6,167.47515447664034
11,60.9,-24.743086526342438
11,65.8,0.5308703841420765
11,71.5,-12.9086145603615
11,356.4,98.5344933113521
11,750.0,10.4285579024579
12,-242.3,-17.4607262976648
12,-100.0,-39.7145919680982
12,44.7,-21.6288740767439
12,51.6,126.34489334011197
12,56.6,-136.3478019092613
12,60.9,-390.00509669565844
12,65.8,27.3831241982102
12,356.4,7.41869414844017
12,750.0,1.6960000491754
13,-242.3,-20.0964462377539
13,-100.0,-40.4490644616689
13,35.9,58.5012317623164
13,44.7,124.25918482897463
13,51.6,-133.16855642147596
13,56.6,27.658719468081063
13,60.9,-95.67114530048539
13,65.8,-33.3931921713111
13,71.5,21.6429895648534
13,356.4,54.3519152433566
13,750.0,23.3519690151681
14,-242.3,-35.0113563976256
14,-100.0,-28.3807617931421
14,44.7,23.30261733622072
14,51.6,98.70122889796204
14,56.6,-33.34286497815876
14,60.9,-228.26954525783873
14,65.8,146.1357209775444
14,71.5,23.8991412439841
14,356.4,23.5385449895614
14,750.0,3.08131404703479
15,-242.3,-46.7335602256972
15,-100.0,-8.48831110800272
15,51.6,-67.9417327671011
15,56.6,-275.0727322841991
15,60.9,244.5184326993708
15,65.8,99.82542935418002
15,71.5,-80.7963447969316
15,356.4,66.2110730860983
15,750.0,10.7146032754295
16,-222.2,-6.66118085125221
16,-100.0,-53.6394501212324
16,60.9,103.22189483672811
16,65.8,-45.31994549520725
16,71.5,-161.16691251913986
16,77.3,-4.7747093753324705
16,375.8,5.00072746332266
16,750.0,1.86645484813499
17,-222.2,-20.8902104610821
17,-100.0,-44.8795329222935
17,65.8,-19.9103223353434
17,71.5,265.56972452483353
17,77.3,-95.11692251098751
17,85.6,85.49486165640097
17,375.8,31.0295719132378
17,750.0,15.8259185828706
18,-222.2,-47.7982682988644
18,-100.0,-9.68148919462261
18,65.8,-45.695751330431975
18,71.5,-145.1383268903917
18,77.3,-84.44609084513056
18,85.6,-116.71405685288289
18,375.8,72.8467460939857
18,750.0,18.7014591615034
19,-222.2,-40.7563147559656
19,-100.0,-16.3848436783792
19,71.5,-156.8671966766773
19,77.3,-194.53931969958575
19,85.6,328.87651442312836
19,375.8,55.164540110535
19,750.0,6.24321017238745
20,-222.2,-18.2171392084896
20,-100.0,-27.1451881987333
20,56.6,-86.8088071739502
20,60.9,-13.902540939328572
20,65.8,55.35738097567372
20,71.5,-70.97117694605336
20,77.3,-242.3940365365767
20,85.6,0.020943261863120455
20,375.8,45.7980464620536
20,750.0,27.6322115759317
21,-242.3,-26.5117309382882
21,-100.0,-62.2299612400121
21,51.6,-62.283324076345146
21,56.6,-0.38595590699684346
21,60.9,7.43720328390939
21,65.8,150.63105116133968
21,71.5,125.91966413425342
21,77.3,-15.1459069265778
21,356.4,26.3710658558192
21,750.0,30.945525967204
22,-242.3,-1.50450972283772
22,-100.0,-39.9987708626493
22,44.7,-53.656014348020804
22,51.6,243.75761039135756
22,56.6,21.766635627912414
22,60.9,70.1599044504953
22,65.8,1.36074938188667
22,71.5,-17.6365255290111
